"playlist_id","name","description","owner_id","public","collaborative"
"pl-fs26-current","Fall Showcase 2026 - Current","Current FS26-V3 performance and promotion music","user-amanda-webb","false","true"
"pl-fs25-archive","Fall Showcase - Archive","Prior-year showcase reference","user-amanda-webb","false","false"
"pl-fs26-oldcut","Fall Showcase 2026 - Rehearsal Cut","Superseded early rehearsal playlist","user-amanda-webb","false","true"
"pl-fill-01","Beginner Warmups","Personal or class playlist","user-amanda-webb","true","false"
"pl-fill-02","Intermediate Phrases","Personal or class playlist","user-amanda-webb","false","false"
"pl-fill-03","Contemporary Fusion Class","Personal or class playlist","user-amanda-webb","false","false"
"pl-fill-04","Saturday Open Level","Personal or class playlist","user-amanda-webb","true","false"
"pl-fill-05","Trail Run","Personal or class playlist","user-amanda-webb","false","false"
"pl-fill-06","Sunday Cooking","Personal or class playlist","user-amanda-webb","false","false"
"pl-fill-07","Post-Shift Wind Down","Personal or class playlist","user-amanda-webb","true","false"
"pl-fill-08","Yoga Cooldown","Personal or class playlist","user-amanda-webb","false","false"
"pl-fill-09","Family Dinner","Personal or class playlist","user-amanda-webb","false","false"
"pl-fill-10","Private Lessons","Personal or class playlist","user-amanda-webb","true","false"
"pl-fill-11","Showcase Archive Two","Personal or class playlist","user-amanda-webb","false","false"
"pl-fill-12","Teaching Ideas","Personal or class playlist","user-amanda-webb","false","false"
