"media_id","impressions","reach","engagement","saves","shares","profile_visits","follows"
"17942026001","24100","19200","3005","330","184","246","62"
"17942026002","22000","17600","2580","240","132","188","41"
"17942026003","25200","20100","3200","360","195","260","68"
"17942026004","30100","23800","3880","410","244","315","84"
"17942026007","23200","18400","2860","298","171","220","53"
"17942026008","20500","16100","2390","205","118","170","36"
"17942025021","34000","27000","4300","450","260","340","90"
"17942025022","28000","22100","3500","390","205","290","72"
"17942026021","27000","21400","3400","370","210","278","70"
"17942026022","26800","21200","3350","365","206","270","69"
"17942026023","36000","28900","4800","510","300","410","110"
"17943026001","7410","5770","805","53","24","41","6"
"17943026002","7620","5940","830","56","26","42","7"
"17943026003","7830","6110","855","59","28","43","8"
"17943026004","8040","6280","880","62","30","44","9"
"17943026005","8250","6450","905","65","32","45","10"
"17943026006","8460","6620","930","68","34","46","11"
"17943026007","8670","6790","955","71","36","47","12"
"17943026008","8880","6960","980","74","38","48","13"
"17943026009","9090","7130","1005","77","40","49","14"
"17943026010","9300","7300","1030","80","42","50","15"
"17943026011","9510","7470","1055","83","44","51","16"
"17943026012","9720","7640","1080","86","46","52","5"
"17943026013","9930","7810","1105","89","48","53","6"
"17943026014","10140","7980","1130","92","50","54","7"
"17943026015","10350","8150","1155","95","52","55","8"
"17943026016","10560","8320","1180","98","54","56","9"
"17943026017","10770","8490","1205","101","56","57","10"
"17943026018","10980","8660","1230","104","58","58","11"
"17943026019","11190","8830","1255","107","60","59","12"
