"id","broadcaster_id","broadcaster_name","creator_id","creator_name","game_id","title","view_count","duration","created_at","url"
"tw-clip-1","tw-user-1","Movement Lab 1","creator-1","Clip Maker 1","game-1","Improvisation clip 1","203","19.5","2026-06-02T20:00:00Z","https://twitch.mock/clip/1"
"tw-clip-2","tw-user-2","Movement Lab 2","creator-2","Clip Maker 2","game-2","Improvisation clip 2","226","20.5","2026-06-03T20:00:00Z","https://twitch.mock/clip/2"
"tw-clip-3","tw-user-3","Movement Lab 3","creator-3","Clip Maker 3","game-3","Improvisation clip 3","249","21.5","2026-06-04T20:00:00Z","https://twitch.mock/clip/3"
"tw-clip-4","tw-user-4","Movement Lab 4","creator-4","Clip Maker 4","game-4","Improvisation clip 4","272","22.5","2026-06-05T20:00:00Z","https://twitch.mock/clip/4"
"tw-clip-5","tw-user-5","Movement Lab 5","creator-5","Clip Maker 5","game-5","Improvisation clip 5","295","23.5","2026-06-06T20:00:00Z","https://twitch.mock/clip/5"
"tw-clip-6","tw-user-6","Movement Lab 6","creator-6","Clip Maker 6","game-6","Improvisation clip 6","318","24.5","2026-06-07T20:00:00Z","https://twitch.mock/clip/6"
"tw-clip-7","tw-user-7","Movement Lab 7","creator-7","Clip Maker 7","game-7","Improvisation clip 7","341","25.5","2026-06-08T20:00:00Z","https://twitch.mock/clip/7"
"tw-clip-8","tw-user-8","Movement Lab 8","creator-8","Clip Maker 8","game-8","Improvisation clip 8","364","26.5","2026-06-09T20:00:00Z","https://twitch.mock/clip/8"
"tw-clip-9","tw-user-9","Movement Lab 9","creator-9","Clip Maker 9","game-9","Improvisation clip 9","387","27.5","2026-06-10T20:00:00Z","https://twitch.mock/clip/9"
"tw-clip-10","tw-user-10","Movement Lab 10","creator-10","Clip Maker 10","game-10","Improvisation clip 10","410","28.5","2026-06-11T20:00:00Z","https://twitch.mock/clip/10"
"tw-clip-11","tw-user-11","Movement Lab 11","creator-11","Clip Maker 11","game-11","Improvisation clip 11","433","29.5","2026-06-12T20:00:00Z","https://twitch.mock/clip/11"
"tw-clip-12","tw-user-12","Movement Lab 12","creator-12","Clip Maker 12","game-12","Improvisation clip 12","456","30.5","2026-06-13T20:00:00Z","https://twitch.mock/clip/12"
"tw-clip-13","tw-user-1","Movement Lab 1","creator-13","Clip Maker 13","game-1","Improvisation clip 13","479","31.5","2026-06-14T20:00:00Z","https://twitch.mock/clip/13"
"tw-clip-14","tw-user-2","Movement Lab 2","creator-14","Clip Maker 14","game-2","Improvisation clip 14","502","32.5","2026-06-15T20:00:00Z","https://twitch.mock/clip/14"
